# 135kHz_100dA_100Mss_NEdd094
# Frecuencia_campo_Hz_=_136147.03880190605
# Magnitud_campo_Hz_=_13453.532020305634
# Fase_campo_=_4.715560691285275
# Concentracion g/m^3_=_10770.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361470e+05	3.249588e+00	4.598045e+00
4.084411e+05	1.103531e+00	7.415210e+00
6.807352e+05	5.023497e-01	1.029539e+01
9.530293e+05	2.511737e-01	1.321976e+01
1.225323e+06	1.583948e-01	1.033856e+01
1.497617e+06	1.764096e-01	1.305579e+01
1.769912e+06	8.148134e-02	1.608644e+01
2.042206e+06	5.328024e-02	1.905188e+01
2.314500e+06	4.033163e-02	1.615584e+01
2.586794e+06	1.715152e-02	1.851139e+01
