Temperatura,Tau_de_pendiente,Tau_fft_1
-27.0,1.635972651132434e-07,1.1455906953203247e-07
-27.0,1.6344952090233528e-07,1.2085296365964848e-07
-26.7,1.5293343064534287e-07,1.1451779227190425e-07
-26.0,1.525290163914408e-07,1.1301396519382074e-07
-25.3,1.4352691744299633e-07,1.0645333914126534e-07
-24.6,1.4202747681280748e-07,1.0386840464650872e-07
-23.5,1.4052829569891056e-07,1.0330711406076627e-07
-21.6,1.367500869469073e-07,1.0663905751063539e-07
-20.7,1.3347262211994656e-07,1.0354281888577693e-07
-19.5,1.3493186566802484e-07,1.018288805280337e-07
-18.3,1.2881714834493745e-07,9.976635160677659e-08
-16.8,1.2537580413007186e-07,1.0055913843867759e-07
-16.3,1.238905325040671e-07,9.33574146916105e-08
-15.0,1.2068117169119964e-07,8.685884906661524e-08
-14.0,1.1975701244922037e-07,9.119822998545964e-08
-13.3,1.2166848477169883e-07,9.794921384819421e-08
-11.7,1.1591638280408566e-07,9.167244052204803e-08
-10.7,1.2280504077696557e-07,9.042274622086987e-08
-10.1,1.1852267991146159e-07,9.109219392902223e-08
-8.9,1.1962040192065912e-07,9.21281025364758e-08
-7.7,1.1655895798768672e-07,8.682968427493467e-08
-6.8,1.1710219871795069e-07,8.929206489019948e-08
-6.1,1.1752449941719763e-07,8.999271371172223e-08
-5.3,1.1626177000152614e-07,9.119830413275195e-08
-4.6,1.1877382330145706e-07,9.71981210591252e-08
-3.6,1.208389676313844e-07,9.780639972035799e-08
-3.0,1.2204135498480843e-07,9.747601343019972e-08
-2.2,1.2184458515073938e-07,9.648978055661258e-08
-1.5,1.2937986943150348e-07,1.0845577803994831e-07
-0.5,1.346782935077217e-07,1.033718531640622e-07
-0.1,1.4245873393439355e-07,1.1018040126057028e-07
0.6,1.9588443142150468e-07,1.1481054718680077e-07
1.0,2.1901929629465415e-07,1.2030344812963815e-07
1.6,2.102518413524751e-07,1.2290676088785804e-07
2.5,2.3175393389604203e-07,1.27026260721068e-07
3.2,2.5554127444132596e-07,1.3393710163336686e-07
3.6,2.624493709585084e-07,1.365774750126757e-07
4.2,2.693247487997397e-07,1.438188045334143e-07
5.0,2.3998458593247307e-07,1.4014116187029198e-07
5.4,2.4935285941669615e-07,1.3506834252328562e-07
6.0,2.4553416732858746e-07,1.4018079139730926e-07
6.6,2.3567606211284423e-07,1.3940605892591678e-07
6.8,2.3257196317686394e-07,1.3732018500487234e-07
7.5,1.9306442564565546e-07,1.4305387863617954e-07
8.0,2.3147413272560167e-07,1.3511150349907567e-07
8.3,1.907604587567788e-07,1.403018040025131e-07
8.8,1.9279787490169156e-07,1.4703354590869515e-07
9.4,1.8927790891249503e-07,1.4660586700068316e-07
9.7,1.9160877909309329e-07,1.432882380943333e-07
10.2,1.9617971973053994e-07,1.3998173240060087e-07
10.7,2.170739719742393e-07,1.3479192766690065e-07
11.0,2.0927311159987575e-07,1.4002505944520924e-07
11.5,1.90214145295011e-07,1.372905409054897e-07
11.9,1.8890053814611887e-07,1.4040346354356455e-07
12.3,1.913370062970277e-07,1.3932457471010523e-07
12.5,1.8752755830548942e-07,1.4745744868459694e-07
12.8,1.8500328823461557e-07,1.398253840785422e-07
13.3,1.8695337400611783e-07,1.4167143026365144e-07
13.5,1.8164549256757988e-07,1.3821638792807079e-07
13.8,1.8815835622117672e-07,1.4542725411286274e-07
14.1,1.864333060830679e-07,1.3856331620512674e-07
14.6,1.8325036021076587e-07,1.3854721129227695e-07
14.8,2.0147524014578553e-07,1.4129081126759136e-07
15.0,2.057201268416827e-07,1.4190558737108454e-07
15.3,1.8520070801301296e-07,1.4489221879666508e-07
15.6,2.008734268093418e-07,1.4062174868481652e-07
15.8,1.9925174018646461e-07,1.4217352056505215e-07
16.1,2.0200680810747343e-07,1.3868864152406828e-07
16.3,1.8200434841810945e-07,1.4284706180355296e-07
16.4,1.7985513047417078e-07,1.3967272152553993e-07
16.7,1.825452196261324e-07,1.4126166581038113e-07
16.9,1.8025419688845372e-07,1.3658022950992083e-07
17.1,1.8278053602093337e-07,1.4387883298678596e-07
17.3,1.8152215861633436e-07,1.454505426150371e-07
17.6,1.9326320071723715e-07,1.3723421429856123e-07
17.7,1.8398721685641363e-07,1.3975987172933294e-07
17.9,1.7830042765989345e-07,1.4119676110812005e-07
18.0,1.7909451866045377e-07,1.386599929505859e-07
18.2,1.889299925658487e-07,1.37831931728929e-07
18.5,1.9420753575645966e-07,1.40069698787997e-07
18.6,1.9221891317388968e-07,1.3634737454499508e-07
18.8,1.8045105551829567e-07,1.4308931963736356e-07
18.9,1.932784528675589e-07,1.4372368737310158e-07
19.1,1.8510842186643173e-07,1.409415528136619e-07
19.2,1.9066763556629727e-07,1.43696650717026e-07
19.4,1.9241616400519055e-07,1.4361441870619912e-07
19.5,1.9182964214041365e-07,1.476013551331896e-07
19.6,1.904960011370888e-07,1.392515246093127e-07
19.7,1.8885157025215787e-07,1.389258841723743e-07
19.9,1.8952935112730847e-07,1.4489750119675124e-07
20.0,1.8885874853761866e-07,1.4402109098135802e-07
20.0,1.935052775802046e-07,1.4098965738244122e-07
20.2,1.8304918748629192e-07,1.3804181677674817e-07
