Temperatura,tau_ed,tau_ed_stderr
-36.8,120.11222679958802,0.6232613395748592
-36.3,117.56227374768514,0.6032999838871783
-35.8,116.38195781052804,0.5332155164306133
-35.1,108.84122139367372,0.6200056042576261
-34.3,102.55066074648204,0.5773690724047662
-32.5,93.06393568604835,0.5782667075849667
-31.1,99.30144108706735,0.5743335564514125
-30.2,93.60197532421229,0.5927485992960259
-28.7,94.63544414113264,0.5790177618397139
-26.7,88.93406271378971,0.5202279859520852
-24.7,95.23091735618162,0.47755552070268564
-23.2,91.0836412445914,0.5501829750460155
-22.1,95.636709704871,0.49690192275410633
-20.5,93.8921056211252,0.4635144291828227
-18.3,91.9034766080176,0.46420627776971496
-17.4,94.65188898432771,0.5070123504879188
-16.4,89.86582636587586,0.5238391067938714
-15.6,86.25656799259248,0.5615262956611634
-14.0,90.95351566273301,0.5192062291333054
-12.9,91.31152814697411,0.4472606182233563
-12.0,89.5645264705765,0.49328283763295716
-11.0,93.42824071761486,0.5022765027032211
-9.8,94.1755946145633,0.4609900451774763
-8.7,92.53368763701539,0.46147730137504833
-7.7,92.8145333032896,0.5354144373569227
-7.0,99.01702136049362,0.47585143008251296
-5.9,89.14364275960534,0.5109972717521815
-4.8,102.13206789571643,0.4723302867333974
-4.3,96.46988258946291,0.5666471447334445
-3.6,99.42441441738517,0.5892185738901976
-2.7,98.49275248506012,0.6708213103508479
-2.3,108.32981872345547,0.6823926103758594
-1.3,107.41105621163709,0.8223752686736576
-0.6,116.52660530196154,0.7889290717111247
-0.2,121.81401883935914,0.8417676864283488
0.6,121.69596378372894,0.9069213730478005
1.4,129.4029761563362,0.9474270974976176
1.8,129.11200287333943,0.9746318559707486
2.3,134.0688372089436,0.946628075834323
2.9,136.9109316617075,0.9472982152627752
3.4,140.9369322788849,0.913444624090524
4.1,143.98071972224878,0.851490230896532
4.7,139.19830063677648,0.8676177175705952
5.0,135.38843174111858,0.9303855237345785
5.5,142.46298078218197,0.8317429310298187
6.4,135.7002237331613,0.8730444531148104
7.1,137.28439002516967,0.8250268201417469
7.4,137.81179369950632,0.8310573985096463
7.9,136.33048237917572,0.8824040004816365
8.4,144.3827512277504,0.7813764019612887
8.8,142.61728011958994,0.7837996904950363
9.4,139.0665281867676,0.8264720441635501
9.8,146.02705331837933,0.8490143049045765
10.1,139.28959447575158,0.8418563804170432
10.7,144.61933594915925,0.7990594154493116
11.1,144.47890839639422,0.8069029967951883
11.5,141.74761506172106,0.8140253051417256
11.8,143.8595242099294,0.8096872943675114
12.1,146.35906277336107,0.7623964181775298
12.7,137.93872331778732,0.8276187106290177
13.1,140.70999275428935,0.8066898827469257
13.6,138.65839677177775,0.8108115024166274
14.0,143.5046814564848,0.7944314674998357
14.3,141.45428377167744,0.7870150902075888
14.6,143.2606710270001,0.8104738259565584
14.9,140.78140555048432,0.8109111485510466
15.1,140.15676320588196,0.817931036916715
15.6,138.144016633181,0.8273873944175023
15.7,142.8525677191748,0.7908826343597293
16.1,140.32009159402472,0.8310672903564713
16.3,143.56166365325234,0.8390467078563689
16.6,142.83866224942352,0.7998554200866252
16.7,137.91358457528142,0.8513331495091084
17.0,135.64107693847492,0.839904388845544
17.1,140.6437066727256,0.8362848420896212
17.4,139.6549252224059,0.982434362561349
17.5,138.6487132990901,0.8481382362477301
17.8,138.71786778628837,0.8513163741652839
17.9,139.12621196576868,0.8394592435805401
18.1,139.19989480060235,0.8456695643931951
18.3,138.61947403152976,0.8516564384523186
18.5,137.59727412412292,0.8703303406385647
18.6,136.43019287121317,0.8750994434119074
18.8,141.3193762981767,0.8972255173319804
18.9,141.35501905582458,0.8602708900757126
19.1,143.54008699779598,0.8446533508203877
19.2,142.9060100237799,0.8582959738734711
19.4,137.76370375537473,0.8820751228090725
19.5,145.92807827655554,0.7889910486353283
19.8,138.43483083567864,0.8405915300804429
19.9,140.52409192854617,0.8221925034992644
20.0,140.40937539168988,0.8131310886687668
20.0,142.24858850288902,0.8198096754105497
20.2,143.24923957284514,0.8040314048877982
20.4,140.4027689054272,0.796530669222908
20.5,108.96025174934636,0.43148247884910784
