Temperatura,tau_ed,tau_ed_stderr,Area
-27.0,113.32551348599017,0.722301938590418,3961402.156870365
-27.0,119.30649631694813,0.6166495047737311,4265552.8305745125
-26.7,113.43393460057206,0.6244336914047866,3937897.221497059
-26.0,111.8226677971925,0.6143980850942276,3885761.192443371
-25.3,105.75889288043834,0.6674536671069272,3636800.845592499
-24.6,102.6027626297507,0.6156046899115821,3537732.2103056908
-23.5,102.01247498606884,0.598204093849518,3544236.292490959
-21.6,104.15171727355354,0.5188087188084474,3631392.440492153
-20.7,101.14218220854147,0.5179708531897529,3525728.3877768517
-19.5,98.88036162485105,0.5657607532972077,3530681.0285577774
-18.3,98.14153564736309,0.5766756383090721,3472687.4633193016
-16.8,99.22772405504232,0.550277007876,3491737.9023628235
-16.3,91.6599738069137,0.5889114394727217,3288811.314365864
-15.0,85.0989245575489,0.6191289746955712,3057101.340441704
-14.0,89.69450141809527,0.5791375429970627,3223966.1719202995
-13.3,96.70984188372623,0.523600134725798,3426922.118414879
-11.7,88.37943286425418,0.509260352992478,3236481.710166931
-10.7,88.73908189450552,0.6327166433663719,3228105.84328413
-10.1,89.35809356860926,0.554147031446016,3239591.3435468674
-8.9,90.70319479575853,0.5779544433306624,3308251.2915329933
-7.7,85.18395403504512,0.5639550028010155,3080713.428938389
-6.8,87.23285751535266,0.5762998082047044,3195985.2800922394
-6.1,87.91229724746593,0.5553591625881265,3265463.4008140564
-5.3,89.66090049227547,0.49018360818529305,3243178.3072223663
-4.6,94.4697277145252,0.4577695287504393,3437642.8401241302
-3.6,94.0999507951186,0.4849465690308996,3471175.413553238
-3.0,95.0566572290717,0.5086941317042516,3513162.680381775
-2.2,93.39763681879677,0.5046157491160622,3539680.4412345886
-1.5,104.85522091807474,0.45044458634918244,3944124.0389122963
-0.5,101.29223602473795,0.6203486530966869,3907655.4876685143
-0.1,107.37908337355658,0.6610869252914745,4239440.799548626
0.6,113.52168176811838,0.6945662506044784,4504120.561733723
1.0,120.17933049696313,0.8076908392500051,4859761.401080608
1.6,122.63653027270183,0.7767391675460911,4943053.926478386
2.5,128.47687049341116,0.8690988621657225,5195843.456552982
3.2,134.71592187530922,0.8589603617668138,5522589.706008434
3.6,137.6102881223802,0.8915124584801883,5626239.313929081
4.2,144.61276359232278,0.7968041732594772,5900962.525173187
5.0,139.44763715125487,0.7907699849106243,5904171.697741985
5.4,135.31508246577522,0.9034676336979421,5761327.862640381
6.0,138.97998612194735,0.8154768207010955,6118706.014258862
6.6,139.97427346267457,0.8268725811621106,6059216.062553883
6.8,137.17729789816346,0.8614356647536674,5990016.101085663
7.5,142.56339903291828,0.7736632998291708,6288528.491724968
8.0,135.485773905349,0.8457911116497712,6025099.0971746445
8.3,139.82399549851615,0.7543938917075786,6189996.865560055
8.8,146.98930095106502,0.7521430216476495,6494446.399246216
9.4,144.74176505793415,0.6942072877513004,6474552.945489407
9.7,142.326486511003,0.7504437232261116,6393621.503533363
10.2,139.41104468538015,0.8367085455433555,6391445.68000412
10.7,134.3165471554875,0.853855948031321,6170468.820629597
11.0,138.86144921470174,0.779663206099615,6365306.516418457
11.5,138.5132460983417,0.8483185164269855,6307428.919915199
11.9,140.74601396684122,0.8032177082132907,6414055.534379005
12.3,139.29683093173045,0.8744738620878906,6441285.667550087
12.5,146.07761242223492,0.7282385736551682,6748183.444731712
12.8,139.23796623212777,0.8077674467797278,6533789.796998024
13.3,141.4636362942304,0.7862723045227697,6519575.053124428
13.5,137.54912066271132,0.7813451107524578,6423804.485914707
13.8,143.3307854163216,0.7358000355204779,6678476.756635666
14.1,138.75094469921865,0.8556889386660328,6396702.528470516
14.6,137.02570142812067,0.7862706311169273,6376807.22090292
14.8,140.45697893149392,0.7523984506759824,6464119.675657749
15.0,141.75047044376953,0.7702128150370966,6573772.452992439
15.3,143.7835211366704,0.7641147513916652,6701904.859577179
15.6,139.50815930111813,0.7729184924984009,6575874.621347904
15.8,141.01800592982997,0.7753834930108856,6616464.409749031
16.1,138.589046670099,0.8208911513518705,6474157.276679993
16.3,142.24871027683963,0.7879372212470825,6700576.431397915
16.4,138.6927062134314,0.8024165205284153,6523449.78600502
16.7,140.52090987517977,0.7751945890843013,6585503.491278172
16.9,135.22844944040602,0.8134461914287343,6390853.496298313
17.1,143.4520961361678,0.7712259361331372,6708661.536738396
17.3,143.15629655175871,0.7233997745992106,6839803.074140549
17.6,137.37823690950208,0.8408527205097991,6565053.879274845
17.7,139.64783335057524,0.8226485844683014,6674732.486819267
17.9,139.51134829351898,0.7729576101993828,6725293.46595192
18.0,138.42640967862016,0.8060237765488456,6636023.482965469
18.2,137.5783762911816,0.8070139882785146,6660268.208089352
18.5,138.91497204118053,0.815662478002572,6756661.368061066
18.6,135.20825012278738,0.852406692724636,6579807.196028233
18.8,142.88871398002095,0.7426831751306744,6747899.374028206
18.9,143.37880754764905,0.7756498644925481,6749085.351839066
19.1,139.6735307337525,0.7712261943797597,6622768.145742416
19.2,142.26450909998889,0.7256999950159065,6661321.742045879
19.4,143.3568131600465,0.7567852936495553,6597140.197602272
19.5,147.0813359386918,0.7094352853442069,6774130.773596764
19.6,140.46981884736806,0.8020289133775936,6433619.152615547
19.7,139.95791338713957,0.8407801636779803,6449935.097566605
19.9,143.84213483149134,0.7265674658109601,6673076.038224697
20.0,143.00413887838025,0.7472381493426917,6628856.009874344
20.0,142.39233688638382,0.7726986733426763,6500517.0651984215
20.2,137.04830574182205,0.7996711270019041,6407025.294237137
20.5,94.53931444231429,0.48408103519635015,846010.1434162855
