Temperatura,Tau_de_pendiente,Tau_fft_1
-32.4,1.541039421385564e-07,1.1392417139827222e-07
-32.2,1.5338480347410988e-07,1.1059581705996658e-07
-31.9,1.423090101882732e-07,1.1243288096464395e-07
-31.4,1.3722973677511052e-07,1.0165142440768691e-07
-30.1,1.3439439992962575e-07,1.0331584260303177e-07
-28.9,1.2876371993966634e-07,1.0004519652603731e-07
-28.0,1.2585338687502697e-07,9.10398981704694e-08
-26.7,1.2511917587294988e-07,9.598642210634755e-08
-25.1,1.255880448696231e-07,9.423533051868404e-08
-23.2,1.2039321943771122e-07,9.320654706967123e-08
-21.8,1.1818996805925733e-07,9.242543477380502e-08
-20.2,1.2013923592103273e-07,9.71742957065994e-08
-19.4,1.1467517746643229e-07,8.123115284294391e-08
-17.4,1.1341735711777117e-07,8.958014244217564e-08
-16.5,1.1776135738061716e-07,9.091484036412582e-08
-15.3,1.1596210212708884e-07,9.070419411192104e-08
-14.4,1.0843414755190365e-07,7.858962526070423e-08
-13.2,1.1353764480178429e-07,8.663927732139537e-08
-11.6,1.1358425020524222e-07,9.346495470451931e-08
-10.5,1.154529818062268e-07,8.821692926877473e-08
-9.5,1.1123195287746937e-07,8.549450938192117e-08
-8.5,1.1595886280839297e-07,8.623671382135717e-08
-7.2,1.1115136232926752e-07,8.52895017606009e-08
-6.2,1.1912076083028997e-07,9.464374808637908e-08
-5.3,1.1588416002214481e-07,8.742640521930313e-08
-4.6,1.5250282796120704e-07,9.846677243184094e-08
-4.1,1.6069642757493133e-07,1.0350366356805418e-07
-3.0,1.8827532910890264e-07,1.0730423307147075e-07
-2.3,2.0339474083259804e-07,1.1446877748432974e-07
-1.6,2.1098190029302637e-07,1.1912166143081197e-07
-0.9,2.2399151095106686e-07,1.1558089980621518e-07
-0.1,2.493743559992104e-07,1.255213715175623e-07
0.6,2.435835931441874e-07,1.3119066920962773e-07
1.4,2.5072314420540097e-07,1.2971169417559897e-07
1.8,2.427573811651674e-07,1.3397965920053097e-07
2.4,2.431463790720784e-07,1.4222517121589007e-07
3.2,2.3200052025668176e-07,1.3424526155846046e-07
3.7,2.3689902735543035e-07,1.3670277364982412e-07
4.1,2.3456612450752283e-07,1.390140101408235e-07
4.6,2.2788080173635035e-07,1.3572924685422842e-07
5.4,2.274460097722583e-07,1.3518267317077344e-07
6.0,2.403502805800148e-07,1.4118759412106355e-07
6.7,2.214709325589635e-07,1.404140123106949e-07
7.3,2.3532462477386318e-07,1.4378822995531134e-07
7.6,2.235302513560815e-07,1.4120438032907804e-07
8.3,2.2544378265453843e-07,1.365545370926907e-07
8.7,2.17606725855669e-07,1.39775345539726e-07
9.1,2.193128692755249e-07,1.4201479208366785e-07
9.5,2.1885263820698665e-07,1.4127712074982195e-07
10.1,2.0894488555821102e-07,1.384185324581616e-07
10.5,2.1619211032126597e-07,1.3846407859228414e-07
11.0,2.20277200996865e-07,1.3994576420260027e-07
11.4,2.0655281953815067e-07,1.439585530079503e-07
11.7,2.11649204983619e-07,1.4343182166562977e-07
12.1,2.0385409134923677e-07,1.3558066606969658e-07
12.6,2.050385900384203e-07,1.4055660783290908e-07
12.9,1.9988193532637775e-07,1.4209511433427683e-07
13.1,1.9991190562626913e-07,1.3703714009367066e-07
13.7,2.028302003272011e-07,1.3824423513870978e-07
13.9,2.0405271193135218e-07,1.3456198711351286e-07
14.2,2.050657680811139e-07,1.4398484204420603e-07
14.4,2.010311842122813e-07,1.3892009261606296e-07
14.7,2.0665021810089815e-07,1.4294729830203187e-07
15.1,1.9601695878454212e-07,1.3511231874076056e-07
15.3,1.9715190971026426e-07,1.365406946657537e-07
15.6,1.981502373556107e-07,1.4315770790733546e-07
15.8,1.9635032894437962e-07,1.3658886209137758e-07
16.2,1.9833999980171542e-07,1.3702549314932319e-07
16.4,1.967671437000945e-07,1.436035091222378e-07
16.7,1.9336194367823033e-07,1.3567172508238098e-07
16.8,1.939250529940288e-07,1.417308773440842e-07
17.0,1.9557197254594254e-07,1.413607180459765e-07
17.3,1.9471681507331237e-07,1.420827808469701e-07
17.5,1.9401909986087564e-07,1.354594504560694e-07
17.7,1.8992055446403077e-07,1.4190452906139553e-07
17.9,1.9015606196748263e-07,1.3650828584037264e-07
18.1,1.918398293624773e-07,1.3981155348796785e-07
18.2,1.9237095530230817e-07,1.3919728084643977e-07
18.4,1.9114003046042838e-07,1.389404208440124e-07
18.6,1.8874954440760232e-07,1.3453891139794445e-07
18.7,1.8672408018361673e-07,1.2910613846185354e-07
18.9,1.835409505311904e-07,1.3661543061950492e-07
19.1,1.8623534269763298e-07,1.3379764899549457e-07
19.2,1.854281066514753e-07,1.3683301798106244e-07
19.3,1.9023406960021974e-07,1.3594407464611172e-07
19.5,1.8476451957162786e-07,1.3585562594019809e-07
19.6,1.8217489864192292e-07,1.3434092178305001e-07
19.8,1.812189899294677e-07,1.3352155666935752e-07
19.9,1.8610818213725543e-07,1.3551994836213052e-07
20.0,1.8312791136954067e-07,1.3839947983077202e-07
