Temperatura,Tau_de_pendiente,Tau_fft_1
-36.8,1.6793919510204312e-07,1.2146332583331442e-07
-36.3,1.5617683223073006e-07,1.1780563658430391e-07
-35.8,1.5294582770058337e-07,1.1848601747424712e-07
-35.1,1.4209879483464485e-07,1.0914626691065385e-07
-34.3,1.3388450809948137e-07,1.0433380855030909e-07
-32.5,1.28157180175851e-07,9.40668533616885e-08
-31.1,1.308260717926078e-07,1.0174983800514516e-07
-30.2,1.207841073362708e-07,9.47730213020369e-08
-28.7,1.22236633726282e-07,9.71369373239365e-08
-26.7,1.1529832645394883e-07,9.184099548983699e-08
-24.7,1.1774136144115852e-07,9.842336435229449e-08
-23.2,1.1876005269790855e-07,9.350948082756498e-08
-22.1,1.1810631902681981e-07,9.885999068730481e-08
-20.5,1.1313033391276703e-07,9.734696001203035e-08
-18.3,1.1385816572400476e-07,9.485099230510478e-08
-17.4,1.1776460848077097e-07,9.777758917088991e-08
-16.4,1.188002219523996e-07,9.28229080063532e-08
-15.6,1.1566581172497379e-07,8.897247028081163e-08
-14.0,1.1646773727672207e-07,9.293290046571027e-08
-12.9,1.1298674974824653e-07,9.566228900236681e-08
-12.0,1.1439459664410902e-07,9.372788761616383e-08
-11.0,1.1411502961051157e-07,9.647210879646569e-08
-9.8,1.1407459209415798e-07,9.73346966832381e-08
-8.7,1.1283689516276025e-07,9.563321581793143e-08
-7.7,1.1688726093328124e-07,9.526783286900385e-08
-7.0,1.2181351261535878e-07,1.0369173041603998e-07
-5.9,1.1412765730407369e-07,9.165256545447827e-08
-4.8,1.1819574106215488e-07,1.0572874829423032e-07
-4.3,1.2334951104368726e-07,9.981753038115968e-08
-3.6,1.2677336156190353e-07,1.0308609148936859e-07
-2.7,1.2920192910039384e-07,1.0163440346411873e-07
-2.3,1.8221188208624395e-07,1.1007793534351138e-07
-1.3,1.8762224652059887e-07,1.0847652469478037e-07
-0.6,2.0919989808928674e-07,1.1838914239014445e-07
-0.2,2.3199199648190641e-07,1.2289397178540811e-07
0.6,2.2194153390027666e-07,1.208713119311382e-07
1.4,2.5169563109888426e-07,1.272508557950524e-07
1.8,2.532754313536577e-07,1.276779521332336e-07
2.3,2.8621532566532735e-07,1.3492839734686215e-07
2.9,2.669320451535162e-07,1.356017685941337e-07
3.4,2.6030505784123834e-07,1.394565745925951e-07
4.1,2.570416721588352e-07,1.4371840748845307e-07
4.7,2.5023301298380754e-07,1.3893670823432877e-07
5.0,2.620811961328153e-07,1.346506194046966e-07
5.5,2.4546769525459655e-07,1.4230480764211306e-07
6.4,1.915843965868447e-07,1.3559375128773504e-07
7.1,2.40764499867157e-07,1.3905334289152144e-07
7.4,1.8871554690187743e-07,1.3852997016906548e-07
7.9,1.9394000179821926e-07,1.356945246277928e-07
8.4,1.9330589361835725e-07,1.4589453424684605e-07
8.8,1.9516256553031848e-07,1.4374766273484776e-07
9.4,1.9266947093144452e-07,1.3951939997913794e-07
9.8,2.1604605555119403e-07,1.4648430232457465e-07
10.1,1.9115328917907352e-07,1.392210582610938e-07
10.7,1.9220650400882761e-07,1.4592092660183557e-07
11.1,1.9028741078675284e-07,1.444022722723031e-07
11.5,2.2208625968626727e-07,1.421446543349896e-07
11.8,1.9033008441561506e-07,1.4387663593155973e-07
12.1,1.8807367389674655e-07,1.4807727262210575e-07
12.7,1.8453071985926443e-07,1.3825933598381942e-07
13.1,1.866464462139186e-07,1.4250355431749877e-07
13.6,1.8654618982514814e-07,1.3909677239408548e-07
14.0,1.851921830516511e-07,1.4566934648690396e-07
14.3,1.8420566833388127e-07,1.4337542076853675e-07
14.6,2.124916033759093e-07,1.4516580163617546e-07
14.9,2.055574192177779e-07,1.4179793202158314e-07
15.1,1.836321578410182e-07,1.4077904065639495e-07
15.6,1.832968937364453e-07,1.388559353026215e-07
15.7,1.8626946357170716e-07,1.4322444130891874e-07
16.1,1.978022279863762e-07,1.408267903460069e-07
16.3,2.0806261265789208e-07,1.4322887531642347e-07
16.6,1.8858005957666264e-07,1.4447351990718317e-07
16.7,1.957199624404527e-07,1.387752494422026e-07
17.0,2.014156727996411e-07,1.3491685556487277e-07
17.1,1.831987089497164e-07,1.4204073572951836e-07
17.4,2.0439733060719732e-07,1.41620943153046e-07
17.5,1.9805047241043307e-07,1.404428304807004e-07
17.8,1.9820045423643585e-07,1.3969448151551082e-07
17.9,1.9685348870030605e-07,1.4059020397470256e-07
18.1,1.9597627249312002e-07,1.3981994738088727e-07
18.3,1.987463142712082e-07,1.3964177912332608e-07
18.5,1.982057381428309e-07,1.389986188245105e-07
18.6,1.9194422991869336e-07,1.3588525770165711e-07
18.8,1.9491844644032516e-07,1.4157053810977733e-07
18.9,1.9512602744981686e-07,1.4144517330602313e-07
19.1,1.9851776103401082e-07,1.4376594160532785e-07
19.2,1.961799035403383e-07,1.4292222753123142e-07
19.4,1.9647579610165782e-07,1.375443579970347e-07
19.5,1.9308334736716745e-07,1.4615381712912752e-07
19.8,1.8676402018396442e-07,1.396868178170326e-07
19.9,1.8725910792046566e-07,1.3990898793263674e-07
20.0,1.9301950357534876e-07,1.40412479675736e-07
20.0,1.8887959552988284e-07,1.4315496953906895e-07
20.2,1.9029489090286464e-07,1.4375128341025797e-07
20.4,1.8571012904948727e-07,1.4090456419468513e-07
